category,subCategory,storeReview,productRating,productAmountOfBuy,productPrice,productHighlights,productDescription,StarSeller,numReviewers
Shirts & Tees,T-shirts,4.9017,5,59,22.3,1,89,FALSE,59
Shirts & Tees,T-shirts,4.6845,5,1578,7.6,6,461,FALSE,1578
Shirts & Tees,T-shirts,4.8324,5,117,65.05,1,136,TRUE,117
Shirts & Tees,T-shirts,4.8131,5,182,37.88,1,207,TRUE,182
Shirts & Tees,T-shirts,4.8596,5,128,77.88,9,1043,TRUE,128
Shirts & Tees,T-shirts,4.9261,5,368,55.65,1,194,FALSE,368
Shirts & Tees,T-shirts,4.9378,5,281,79.04,1,234,TRUE,281
Shirts & Tees,T-shirts,4.8461,5,578,39,1,560,TRUE,578
Shirts & Tees,T-shirts,4.7995,5,60,42.34,1,545,TRUE,60
Shirts & Tees,T-shirts,5,5,67,107.5,4,153,FALSE,67
Shirts & Tees,T-shirts,4.927,5,92,79,3,517,FALSE,92
Shirts & Tees,T-shirts,4.8608,5,715,85.46,9,485,FALSE,715
Shirts & Tees,T-shirts,4.9378,5,1052,27.04,1,211,TRUE,1026
Shirts & Tees,T-shirts,4.9442,5,4353,51.86,1,401,TRUE,4353
Shirts & Tees,T-shirts,4.9517,5,366,79.44,16,160,TRUE,366
Shirts & Tees,T-shirts,4.8047,5,285,60.22,30,217,TRUE,285
Shirts & Tees,T-shirts,4.75,5,805,85.95,1,652,FALSE,805
Shirts & Tees,T-shirts,4.9017,5,59,22.3,1,89,FALSE,59
Shirts & Tees,T-shirts,4.6845,5,1578,7.6,6,461,FALSE,1578
Shirts & Tees,T-shirts,4.8324,5,117,65.05,1,136,TRUE,117
Shirts & Tees,T-shirts,4.75,5,92,85.95,1,652,FALSE,92
Shirts & Tees,T-shirts,4.8131,5,182,37.88,1,207,TRUE,182
Shirts & Tees,T-shirts,4.8596,5,128,77.88,9,1043,TRUE,128
Shirts & Tees,T-shirts,4.9261,5,368,55.65,1,194,FALSE,368
Shirts & Tees,T-shirts,4.8974,1,148,71.34,1,212,FALSE,148
Shirts & Tees,T-shirts,4.9378,5,281,79.04,1,234,TRUE,281
Shirts & Tees,T-shirts,4.8461,5,578,39,1,560,TRUE,578
Shirts & Tees,T-shirts,4.7995,5,60,42.34,1,545,TRUE,60
Shirts & Tees,T-shirts,5,5,67,107.5,4,153,FALSE,67
Shirts & Tees,T-shirts,4.927,5,92,79,3,517,FALSE,92
Shirts & Tees,T-shirts,4.8608,5,715,85.46,9,485,FALSE,715
Shirts & Tees,T-shirts,4.927,5,183,79,3,528,FALSE,183
Shirts & Tees,T-shirts,4.9378,5,1688,79.04,8,211,TRUE,1407
Shirts & Tees,T-shirts,4.9442,5,4353,51.86,1,401,TRUE,4353
Shirts & Tees,T-shirts,4.9517,5,366,79.44,16,160,TRUE,366
Shirts & Tees,T-shirts,4.8047,5,285,60.22,30,217,TRUE,285
Shirts & Tees,T-shirts,4.75,5,805,85.95,1,652,FALSE,805
Shirts & Tees,T-shirts,4.9017,5,59,22.3,1,89,FALSE,59
Shirts & Tees,T-shirts,4.6845,5,1578,7.6,6,461,FALSE,1578
Shirts & Tees,T-shirts,4.8324,5,117,65.05,1,136,TRUE,117
Shirts & Tees,T-shirts,4.75,5,92,85.95,1,652,FALSE,92
Shirts & Tees,T-shirts,4.8959,5,2850,74.31,1,233,TRUE,2850
Shirts & Tees,T-shirts,4.8131,5,182,37.88,1,207,TRUE,182
Shirts & Tees,T-shirts,4.8596,5,128,77.88,9,1043,TRUE,128
Shirts & Tees,T-shirts,4.9261,5,368,55.65,1,194,FALSE,368
Shirts & Tees,T-shirts,4.8974,1,148,71.34,1,212,FALSE,148
Shirts & Tees,T-shirts,4.927,5,243,79,3,537,FALSE,243
Shirts & Tees,T-shirts,4.9378,5,281,79.04,1,234,TRUE,281
Shirts & Tees,T-shirts,4.8461,5,578,39,1,560,TRUE,578
Shirts & Tees,T-shirts,4.7995,5,60,42.34,1,545,TRUE,60
Shirts & Tees,T-shirts,5,5,67,107.5,4,153,FALSE,67
Shirts & Tees,T-shirts,4.927,5,92,79,3,517,FALSE,92
Shirts & Tees,T-shirts,4.8608,5,715,85.46,9,485,FALSE,715
Shirts & Tees,T-shirts,4.927,5,183,79,3,528,FALSE,183
Shirts & Tees,T-shirts,4.9517,5,114,76.1,16,150,TRUE,114
Shirts & Tees,T-shirts,4.9378,5,1688,129.04,2,211,TRUE,1688
Shirts & Tees,T-shirts,4.9442,5,4353,51.86,1,401,TRUE,4353
Shirts & Tees,T-shirts,4.9517,5,366,79.44,16,160,TRUE,366
Shirts & Tees,T-shirts,4.8047,5,285,60.22,30,217,TRUE,285
Shirts & Tees,T-shirts,4.75,5,805,85.95,1,652,FALSE,805
Shirts & Tees,T-shirts,4.9017,5,59,22.3,1,89,FALSE,59
Shirts & Tees,T-shirts,4.6845,5,1578,7.6,6,461,FALSE,1578
Shirts & Tees,T-shirts,4.8324,5,117,65.05,1,136,TRUE,117
Shirts & Tees,T-shirts,4.75,5,92,85.95,1,652,FALSE,92
Shirts & Tees,T-shirts,4.8959,5,2850,74.31,1,233,TRUE,2850
Shirts & Tees,T-shirts,4.8131,5,182,37.88,1,207,TRUE,182
Shirts & Tees,T-shirts,4.8596,5,128,77.88,9,1043,TRUE,128
Shirts & Tees,T-shirts,4.9261,5,368,55.65,1,194,FALSE,368
Shirts & Tees,T-shirts,4.8974,1,148,71.34,1,212,FALSE,148
Shirts & Tees,T-shirts,4.927,5,243,79,3,537,FALSE,243
Shirts & Tees,T-shirts,4.9378,5,281,79.04,1,234,TRUE,281
Shirts & Tees,T-shirts,4.8461,5,578,39,1,560,TRUE,578
Shirts & Tees,T-shirts,4.7995,5,60,42.34,1,545,TRUE,60
Shirts & Tees,T-shirts,5,5,67,107.5,4,153,FALSE,67
Shirts & Tees,T-shirts,4.927,5,92,79,3,517,FALSE,92
Shirts & Tees,T-shirts,4.8608,5,715,85.46,9,485,FALSE,715
Shirts & Tees,T-shirts,4.927,5,183,79,3,528,FALSE,183
Shirts & Tees,T-shirts,4.9517,5,114,76.1,16,150,TRUE,114
Shirts & Tees,T-shirts,4.8896,1,395,48.33,5,199,FALSE,395
Shirts & Tees,T-shirts,4.9378,5,775,79.04,1,211,TRUE,589
Shirts & Tees,T-shirts,4.9442,5,4353,51.86,1,401,TRUE,4353
Shirts & Tees,T-shirts,4.9517,5,366,79.44,16,160,TRUE,366
Shirts & Tees,T-shirts,4.8047,5,285,60.22,30,217,TRUE,285
Shirts & Tees,T-shirts,4.75,5,805,85.95,1,652,FALSE,805
Shirts & Tees,T-shirts,4.9017,5,59,22.3,1,89,FALSE,59
Shirts & Tees,T-shirts,4.6845,5,1578,7.6,6,461,FALSE,1578
Shirts & Tees,T-shirts,4.8324,5,117,65.05,1,136,TRUE,117
Shirts & Tees,T-shirts,4.75,5,92,85.95,1,652,FALSE,92
Shirts & Tees,T-shirts,4.8959,5,2850,74.31,1,233,TRUE,2850
Shirts & Tees,T-shirts,4.6339,1,240,45.8,49,893,FALSE,240
Shirts & Tees,T-shirts,4.8131,5,182,37.88,1,207,TRUE,182
Shirts & Tees,T-shirts,4.8596,5,128,77.88,9,1043,TRUE,128
Shirts & Tees,T-shirts,4.9261,5,368,55.65,1,194,FALSE,368
Shirts & Tees,T-shirts,4.8974,1,148,71.34,1,212,FALSE,148
Shirts & Tees,T-shirts,4.927,5,243,79,3,537,FALSE,243
Shirts & Tees,T-shirts,4.927,5,223,79,3,525,FALSE,223
Shirts & Tees,T-shirts,4.9378,5,281,79.04,1,234,TRUE,281
Shirts & Tees,T-shirts,4.8461,5,578,39,1,560,TRUE,578
Shirts & Tees,T-shirts,4.7995,5,60,42.34,1,545,TRUE,60
Shirts & Tees,T-shirts,5,5,67,107.5,4,153,FALSE,67
Shirts & Tees,T-shirts,4.927,5,92,79,3,517,FALSE,92
Shirts & Tees,T-shirts,4.8608,5,715,85.46,9,485,FALSE,715
Shirts & Tees,T-shirts,4.927,5,183,79,3,528,FALSE,183
Shirts & Tees,T-shirts,4.9517,5,114,76.1,16,150,TRUE,114
Shirts & Tees,T-shirts,4.8896,1,395,48.33,5,199,FALSE,395
Shirts & Tees,T-shirts,4.9442,5,4353,51.86,1,401,TRUE,4353
Shirts & Tees,T-shirts,4.9517,5,366,79.44,16,160,TRUE,366
Shirts & Tees,T-shirts,4.8047,5,285,60.22,30,217,TRUE,285
Shirts & Tees,T-shirts,4.75,5,805,85.95,1,652,FALSE,805
Shirts & Tees,T-shirts,4.9017,5,59,22.3,1,89,FALSE,59
Shirts & Tees,T-shirts,4.6845,5,1578,7.6,6,461,FALSE,1578
Shirts & Tees,T-shirts,4.8324,5,117,65.05,1,136,TRUE,117
Shirts & Tees,T-shirts,4.75,5,92,85.95,1,652,FALSE,92
Shirts & Tees,T-shirts,4.8959,5,2850,74.31,1,233,TRUE,2850
Shirts & Tees,T-shirts,4.6339,1,240,45.8,49,893,FALSE,240
Shirts & Tees,T-shirts,4.9476,5,333,70.59,1,271,TRUE,333
Shirts & Tees,T-shirts,4.8131,5,182,37.88,1,207,TRUE,182
Shirts & Tees,T-shirts,4.8596,5,128,77.88,9,1043,TRUE,128
Shirts & Tees,T-shirts,4.9261,5,368,55.65,1,194,FALSE,368
Shirts & Tees,T-shirts,4.8974,1,148,71.34,1,212,FALSE,148
Shirts & Tees,T-shirts,4.927,5,243,79,3,537,FALSE,243
Shirts & Tees,T-shirts,4.927,5,223,79,3,525,FALSE,223
Shirts & Tees,T-shirts,4.9378,5,281,79.04,1,234,TRUE,281
Shirts & Tees,T-shirts,4.8461,5,578,39,1,560,TRUE,578
Shirts & Tees,T-shirts,4.7995,5,60,42.34,1,545,TRUE,60
Shirts & Tees,T-shirts,5,5,67,107.5,4,153,FALSE,67
Shirts & Tees,T-shirts,4.927,5,92,79,3,517,FALSE,92
Shirts & Tees,T-shirts,4.8608,5,715,85.46,9,485,FALSE,715
Shirts & Tees,T-shirts,4.927,5,183,79,3,528,FALSE,183
Shirts & Tees,T-shirts,4.9517,5,114,76.1,16,150,TRUE,114
Shirts & Tees,T-shirts,4.8896,1,395,48.33,5,199,FALSE,395
Shirts & Tees,T-shirts,4.927,5,92,79,3,518,FALSE,92
Shirts & Tees,T-shirts,4.8131,5,182,37.88,1,207,TRUE,182
Shirts & Tees,T-shirts,4.8596,5,128,77.88,9,1043,TRUE,128
Shirts & Tees,T-shirts,4.9261,5,368,55.65,1,194,FALSE,368
Shirts & Tees,T-shirts,4.8974,1,148,71.34,1,212,FALSE,148
Shirts & Tees,T-shirts,4.927,5,243,79,3,537,FALSE,243
Shirts & Tees,T-shirts,4.927,5,223,79,3,525,FALSE,223
Shirts & Tees,T-shirts,4.8889,5,162,106.98,9,549,FALSE,162
Shirts & Tees,T-shirts,4.9378,5,232,79.04,3,211,FALSE,150
Shirts & Tees,T-shirts,4.9442,5,4353,51.86,1,401,TRUE,4353
Shirts & Tees,T-shirts,4.9517,5,366,79.44,16,160,TRUE,366
Shirts & Tees,T-shirts,4.8047,5,285,60.22,30,217,TRUE,285
Shirts & Tees,T-shirts,4.75,5,805,85.95,1,652,FALSE,805
Shirts & Tees,T-shirts,4.9017,5,59,22.3,1,89,FALSE,59
Shirts & Tees,T-shirts,4.6845,5,1578,7.6,6,461,FALSE,1578
Shirts & Tees,T-shirts,4.8324,5,117,65.05,1,136,TRUE,117
Shirts & Tees,T-shirts,4.75,5,92,85.95,1,652,FALSE,92
Shirts & Tees,T-shirts,4.8959,5,2850,74.31,1,233,TRUE,2850
Shirts & Tees,T-shirts,4.6339,1,240,45.8,49,893,FALSE,240
Shirts & Tees,T-shirts,4.9476,5,333,70.59,1,271,TRUE,333
Shirts & Tees,T-shirts,4.9378,5,281,79.04,1,234,TRUE,281
Shirts & Tees,T-shirts,4.8461,5,578,39,1,560,TRUE,578
Shirts & Tees,T-shirts,4.7995,5,60,42.34,1,545,TRUE,60
Shirts & Tees,T-shirts,5,5,67,107.5,4,153,FALSE,67
Shirts & Tees,T-shirts,4.927,5,92,79,3,517,FALSE,92
Shirts & Tees,T-shirts,4.8608,5,715,85.46,9,485,FALSE,715
Shirts & Tees,T-shirts,4.927,5,183,79,3,528,FALSE,183
Shirts & Tees,T-shirts,4.9517,5,114,76.1,16,150,TRUE,114
Shirts & Tees,T-shirts,4.8896,1,395,48.33,5,199,FALSE,395
Shirts & Tees,T-shirts,4.927,5,92,79,3,518,FALSE,92
Shirts & Tees,T-shirts,4.9476,5,163,70.59,1,272,TRUE,163
Shirts & Tees,T-shirts,4.8131,5,182,37.88,1,207,TRUE,182
Shirts & Tees,T-shirts,4.8596,5,128,77.88,9,1043,TRUE,128
Shirts & Tees,T-shirts,4.9261,5,368,55.65,1,194,FALSE,368
Shirts & Tees,T-shirts,4.8974,1,148,71.34,1,212,FALSE,148
Shirts & Tees,T-shirts,4.927,5,243,79,3,537,FALSE,243
Shirts & Tees,T-shirts,4.927,5,223,79,3,525,FALSE,223
Shirts & Tees,T-shirts,4.8889,5,162,106.98,9,549,FALSE,162
Shirts & Tees,T-shirts,4.8493,5,66,70.59,4,249,FALSE,66
Shirts & Tees,T-shirts,4.9378,5,740,62.04,1,211,TRUE,150
Shirts & Tees,T-shirts,4.9442,5,4353,51.86,1,401,TRUE,4353
Shirts & Tees,T-shirts,4.9517,5,366,79.44,16,160,TRUE,366
Shirts & Tees,T-shirts,4.8047,5,285,60.22,30,217,TRUE,285
Shirts & Tees,T-shirts,4.75,5,805,85.95,1,652,FALSE,805
Shirts & Tees,T-shirts,4.9017,5,59,22.3,1,89,FALSE,59
Shirts & Tees,T-shirts,4.6845,5,1578,7.6,6,461,FALSE,1578
Shirts & Tees,T-shirts,4.8324,5,117,65.05,1,136,TRUE,117
Shirts & Tees,T-shirts,4.75,5,92,85.95,1,652,FALSE,92
Shirts & Tees,T-shirts,4.8959,5,2850,74.31,1,233,TRUE,2850
Shirts & Tees,T-shirts,4.6339,1,240,45.8,49,893,FALSE,240
Shirts & Tees,T-shirts,4.9476,5,333,70.59,1,271,TRUE,333
Shirts & Tees,T-shirts,4.9378,5,281,79.04,1,234,TRUE,281
Shirts & Tees,T-shirts,4.8461,5,578,39,1,560,TRUE,578
Shirts & Tees,T-shirts,4.7995,5,60,42.34,1,545,TRUE,60
Shirts & Tees,T-shirts,5,5,67,107.5,4,153,FALSE,67
Shirts & Tees,T-shirts,4.927,5,92,79,3,517,FALSE,92
Shirts & Tees,T-shirts,4.8608,5,715,85.46,9,485,FALSE,715
Shirts & Tees,T-shirts,4.927,5,183,79,3,528,FALSE,183
Shirts & Tees,T-shirts,4.9517,5,114,76.1,16,150,TRUE,114
Shirts & Tees,T-shirts,4.8896,1,395,48.33,5,199,FALSE,395
Shirts & Tees,T-shirts,4.927,5,92,79,3,518,FALSE,92
Shirts & Tees,T-shirts,4.9476,5,163,70.59,1,272,TRUE,163
Shirts & Tees,T-shirts,4.8131,5,182,37.88,1,207,TRUE,182
Shirts & Tees,T-shirts,4.8596,5,128,77.88,9,1043,TRUE,128
Shirts & Tees,T-shirts,4.9261,5,368,55.65,1,194,FALSE,368
Shirts & Tees,T-shirts,4.8974,1,148,71.34,1,212,FALSE,148
Shirts & Tees,T-shirts,4.927,5,243,79,3,537,FALSE,243
Shirts & Tees,T-shirts,4.927,5,223,79,3,525,FALSE,223
Shirts & Tees,T-shirts,4.8889,5,162,106.98,9,549,FALSE,162
Shirts & Tees,T-shirts,4.8493,5,66,70.59,4,249,FALSE,66
Shirts & Tees,T-shirts,4.6339,4,61,45.8,49,858,FALSE,61
Shirts & Tees,T-shirts,4.9378,4,1403,100,5,211,FALSE,809
Shirts & Tees,T-shirts,4.9442,5,4353,51.86,1,401,TRUE,4353
Shirts & Tees,T-shirts,4.9517,5,366,79.44,16,160,TRUE,366
Shirts & Tees,T-shirts,4.8047,5,285,60.22,30,217,TRUE,285
Shirts & Tees,T-shirts,4.75,5,805,85.95,1,652,FALSE,805
Shirts & Tees,T-shirts,4.9017,5,59,22.3,1,89,FALSE,59
Shirts & Tees,T-shirts,4.6845,5,1578,7.6,6,461,FALSE,1578
Shirts & Tees,T-shirts,4.8324,5,117,65.05,1,136,TRUE,117
Shirts & Tees,T-shirts,4.75,5,92,85.95,1,652,FALSE,92
Shirts & Tees,T-shirts,4.8959,5,2850,74.31,1,233,TRUE,2850
Shirts & Tees,T-shirts,4.6339,1,240,45.8,49,893,FALSE,240
Shirts & Tees,T-shirts,4.9476,5,333,70.59,1,271,TRUE,333
Shirts & Tees,T-shirts,4.9378,5,281,79.04,1,234,TRUE,281
Shirts & Tees,T-shirts,4.8461,5,578,39,1,560,TRUE,578
Shirts & Tees,T-shirts,4.7995,5,60,42.34,1,545,TRUE,60
Shirts & Tees,T-shirts,5,5,67,107.5,4,153,FALSE,67
Shirts & Tees,T-shirts,4.927,5,92,79,3,517,FALSE,92
Shirts & Tees,T-shirts,4.8608,5,715,85.46,9,485,FALSE,715
Shirts & Tees,T-shirts,4.927,5,183,79,3,528,FALSE,183
Shirts & Tees,T-shirts,4.9517,5,114,76.1,16,150,TRUE,114
Shirts & Tees,T-shirts,4.8896,1,395,48.33,5,199,FALSE,395
Shirts & Tees,T-shirts,4.927,5,92,79,3,518,FALSE,92
Shirts & Tees,T-shirts,4.9476,5,163,70.59,1,272,TRUE,163
Shirts & Tees,T-shirts,4.9378,5,1688,22.04,2,211,TRUE,900
Shirts & Tees,T-shirts,4.9442,5,4353,51.86,1,401,TRUE,4353
Shirts & Tees,T-shirts,4.9517,5,366,79.44,16,160,TRUE,366
Shirts & Tees,T-shirts,4.8047,5,285,60.22,30,217,TRUE,285
Shirts & Tees,T-shirts,4.75,5,805,85.95,1,652,FALSE,805
Shirts & Tees,T-shirts,4.9017,5,59,22.3,1,89,FALSE,59
Shirts & Tees,T-shirts,4.6845,5,1578,7.6,6,461,FALSE,1578
Shirts & Tees,T-shirts,4.8324,5,117,65.05,1,136,TRUE,117
Shirts & Tees,T-shirts,4.75,5,92,85.95,1,652,FALSE,92
Shirts & Tees,T-shirts,4.8959,5,2850,74.31,1,233,TRUE,2850
Shirts & Tees,T-shirts,4.6339,1,240,45.8,49,893,FALSE,240
Shirts & Tees,T-shirts,4.9476,5,333,70.59,1,271,TRUE,333
Shirts & Tees,T-shirts,4.8131,5,182,37.88,1,207,TRUE,182
Shirts & Tees,T-shirts,4.8596,5,128,77.88,9,1043,TRUE,128
Shirts & Tees,T-shirts,4.9261,5,368,55.65,1,194,FALSE,368
Shirts & Tees,T-shirts,4.8974,1,148,71.34,1,212,FALSE,148
Shirts & Tees,T-shirts,4.927,5,243,79,3,537,FALSE,243
Shirts & Tees,T-shirts,4.927,5,223,79,3,525,FALSE,223
Shirts & Tees,T-shirts,4.8889,5,162,106.98,9,549,FALSE,162
Shirts & Tees,T-shirts,4.8493,5,66,70.59,4,249,FALSE,66
Shirts & Tees,T-shirts,4.6339,4,61,45.8,49,858,FALSE,61
Shirts & Tees,T-shirts,4.9304,5,174,61.26,5,1579,TRUE,174
Shirts & Tees,T-shirts,4.9378,5,281,79.04,1,234,TRUE,281
Shirts & Tees,T-shirts,4.8461,5,578,39,1,560,TRUE,578
Shirts & Tees,T-shirts,4.7995,5,60,42.34,1,545,TRUE,60
Shirts & Tees,T-shirts,5,5,67,107.5,4,153,FALSE,67
Shirts & Tees,T-shirts,4.927,5,92,79,3,517,FALSE,92
Shirts & Tees,T-shirts,4.8608,5,715,85.46,9,485,FALSE,715
Shirts & Tees,T-shirts,4.927,5,183,79,3,528,FALSE,183
Shirts & Tees,T-shirts,4.9517,5,114,76.1,16,150,TRUE,114
Shirts & Tees,T-shirts,4.8896,1,395,48.33,5,199,FALSE,395
Shirts & Tees,T-shirts,4.927,5,92,79,3,518,FALSE,92
Shirts & Tees,T-shirts,4.9476,5,163,70.59,1,272,TRUE,163
Shirts & Tees,T-shirts,4.9378,5,163,59.04,1,211,TRUE,162
Shirts & Tees,T-shirts,4.9442,5,4353,51.86,1,401,TRUE,4353
Shirts & Tees,T-shirts,4.9517,5,366,79.44,16,160,TRUE,366
Shirts & Tees,T-shirts,4.8047,5,285,60.22,30,217,TRUE,285
Shirts & Tees,T-shirts,4.75,5,805,85.95,1,652,FALSE,805
Shirts & Tees,T-shirts,4.9017,5,59,22.3,1,89,FALSE,59
Shirts & Tees,T-shirts,4.6845,5,1578,7.6,6,461,FALSE,1578
Shirts & Tees,T-shirts,4.8324,5,117,65.05,1,136,TRUE,117
Shirts & Tees,T-shirts,4.75,5,92,85.95,1,652,FALSE,92
Shirts & Tees,T-shirts,4.8959,5,2850,74.31,1,233,TRUE,2850
Shirts & Tees,T-shirts,4.6339,1,240,45.8,49,893,FALSE,240
Shirts & Tees,T-shirts,4.9476,5,333,70.59,1,271,TRUE,333
Shirts & Tees,T-shirts,4.9017,5,2223,74.35,6,359,FALSE,2223
Shirts & Tees,T-shirts,4.8131,5,182,37.88,1,207,TRUE,182
Shirts & Tees,T-shirts,4.8596,5,128,77.88,9,1043,TRUE,128
Shirts & Tees,T-shirts,4.9261,5,368,55.65,1,194,FALSE,368
Shirts & Tees,T-shirts,4.8974,1,148,71.34,1,212,FALSE,148
Shirts & Tees,T-shirts,4.927,5,243,79,3,537,FALSE,243
Shirts & Tees,T-shirts,4.927,5,223,79,3,525,FALSE,223
Shirts & Tees,T-shirts,4.8889,5,162,106.98,9,549,FALSE,162
Shirts & Tees,T-shirts,4.8493,5,66,70.59,4,249,FALSE,66
Shirts & Tees,T-shirts,4.6339,4,61,45.8,49,858,FALSE,61
Shirts & Tees,T-shirts,4.9304,5,174,61.26,5,1579,TRUE,174
Shirts & Tees,T-shirts,4.8962,2,330,55.72,4,936,FALSE,330
Shirts & Tees,T-shirts,4.9378,5,281,79.04,1,234,TRUE,281
Shirts & Tees,T-shirts,4.8461,5,578,39,1,560,TRUE,578
Shirts & Tees,T-shirts,4.7995,5,60,42.34,1,545,TRUE,60
Shirts & Tees,T-shirts,5,5,67,107.5,4,153,FALSE,67
Shirts & Tees,T-shirts,4.927,5,92,79,3,517,FALSE,92
Shirts & Tees,T-shirts,4.8608,5,715,85.46,9,485,FALSE,715
Shirts & Tees,T-shirts,4.927,5,183,79,3,528,FALSE,183
Shirts & Tees,T-shirts,4.9517,5,114,76.1,16,150,TRUE,114
Shirts & Tees,T-shirts,4.8896,1,395,48.33,5,199,FALSE,395
Shirts & Tees,T-shirts,4.927,5,92,79,3,518,FALSE,92
